episode_id,step,reward_mean_0,reward_mean_1,reward_total_0,reward_total_1,episode_length_steps,avg_speed_0_kmh,avg_speed_1_kmh,max_speed_0_kmh,max_speed_1_kmh,avg_angle_0_rad,avg_angle_1_rad,laps_0,laps_1,overtakes_0,overtakes_1,min_distance_m,avg_distance_m,pct_leader_0,pct_leader_1,max_meters_traveled_0,max_meters_traveled_1,max_progress_pct_0,max_progress_pct_1,best_lap_time_0_s,best_lap_time_1_s,policy_loss,value_loss,reason
87,4689,0.1377,0.0743,8.81,4.76,64,31.05,27.28,36.56,34.93,0.094,0.066,0,0,0,0,3.95,2.34,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
88,4776,0.0700,0.1168,6.09,10.16,87,34.50,27.06,40.49,31.49,0.181,0.197,0,0,0,0,6.16,4.16,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
89,4819,-0.8431,-0.6298,-36.25,-27.08,43,27.27,31.73,34.21,35.15,0.130,0.080,0,0,0,0,3.14,1.12,48.8,51.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
90,4851,-1.3405,-1.3099,-42.90,-41.92,32,31.70,31.19,34.21,34.23,0.190,0.072,0,0,0,0,2.21,0.00,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
91,4946,0.1850,0.1585,17.58,15.06,95,29.88,28.72,36.63,33.75,0.169,0.125,0,0,0,0,3.12,0.95,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
92,5071,0.2571,0.1262,32.14,15.78,125,36.57,32.12,47.32,36.18,0.079,0.116,0,0,0,0,3.21,1.94,97.6,2.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
93,5143,0.1550,0.3072,11.16,22.12,72,31.03,34.05,35.65,39.42,0.119,0.065,0,0,0,0,4.33,1.08,50.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,-0.01886,15.81514,wall_collision
94,5223,0.3074,0.1692,24.59,13.53,80,34.27,32.53,40.41,34.73,0.072,0.115,0,0,0,0,2.82,0.48,87.5,12.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
95,5347,0.2315,0.2077,28.70,25.75,124,36.20,34.84,44.12,39.24,0.117,0.095,0,0,0,0,2.50,0.31,93.5,6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
96,5417,0.1527,0.1600,10.69,11.20,70,33.01,33.98,37.32,43.15,0.072,0.096,0,0,0,0,2.40,0.20,94.3,5.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
97,5494,0.1044,0.1245,8.04,9.58,77,33.01,34.24,40.72,42.34,0.081,0.058,0,0,0,0,2.46,0.83,58.4,41.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
98,5903,0.1204,0.1537,49.23,62.86,409,38.70,41.08,51.53,51.17,0.138,0.126,0,0,0,0,4.50,11.45,2.2,97.8,NaN,NaN,NaN,NaN,NaN,NaN,0.07691,14.23120,wall_collision
99,6104,0.1093,0.1100,21.98,22.10,201,38.70,28.30,45.98,41.04,0.133,0.108,0,0,0,0,4.85,15.74,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
